cosparId,satno,name,objectClass,mass,shape,width,height,depth,diameter,span,xSectMax,xSectMin,xSectAvg,firstEpoch,idElset,epoch,meanMotion,eccentricity,inclination,raan,argOfPerigee,meanAnomaly,bStar,meanMotionDot,semiMajorAxis,period,apogee,perigee,line1,line2,AMR,HAMR,LEO,GEO,MEO,HEO
1958-002B,5,Vanguard 1,Payload,1.46,Sphere,,,,0.16,0.16,0.020106193,0.020106193,0.020106193,3/17/1958,289bcfa8-0b7b-42dc-acec-694eedcdaa76,2025-06-24T18:08:59.495424Z,10.85927076,0.1841631,34.2565,337.5375,326.9061,22.8432,-1.24E-05,-7.00E-08,8613.931,132.606,10200.3,7027.563,1 00005U 58002B   25175.75624416 -.00000007 +00000+0 -12413-4 0 99997,2 00005  34.2565 337.5375 1841631 326.9061  22.8432 10.85927076404516,0.013771365,FALSE,TRUE,FALSE,FALSE,FALSE
1959-001A,11,Vanguard 2,Payload,9.71,Sphere,0.51,0.51,0.51,,0.51,0.2043,0.2043,0.2043,2/17/1959,715cec85-7f33-4f8f-a9bc-a1b5855036da,2025-06-25T12:28:04.773216Z,11.89893512,0.1448717,32.8723,354.436,188.0596,169.4091,0.00051176,1.00E-05,8104.566,121.019,9278.689,6930.444,1 00011U 59001A   25176.51949969 +.00001001 +00000+0 +51176-3 0 99993,2 00011  32.8723 354.4360 1448717 188.0596 169.4091 11.89893512492960,0.021040165,FALSE,FALSE,FALSE,TRUE,FALSE
1959-001B,12,Grand Central (ALB) (Vanguard),Rocket Body,22.79,Cyl,,1.5,,0.7,1.5,1.118304856,0.3848451,1.017090622,2/17/1959,fad4cab8-f68f-4cae-96ba-e610c4dc077b,2025-06-25T07:21:05.564160Z,11.47763197,0.1648246,32.9005,42.409,15.957,348.7165,0.00027041,4.53E-06,8301.699,125.461,9670.023,6933.375,1 00012U 59001B   25176.30631440 +.00000453 +00000+0 +27041-3 0 99997,2 00012  32.9005  42.4090 1648246  15.9570 348.7165 11.47763197490295,0.044628812,FALSE,FALSE,FALSE,TRUE,FALSE
1958-002A,16,Grand Central (ALB) (Vanguard),Rocket Body,22.79,Cyl,,1.5,,0.7,1.5,1.118304856,0.3848451,1.017090622,3/17/1958,14dca202-cb29-424f-81f7-72e9fc4eade2,2025-06-25T06:50:43.903104Z,10.4957426,0.2023093,34.2616,257.2255,53.3873,323.6322,-3.80E-05,-4.80E-07,8811.7,137.198,10594.389,7029.012,1 00016U 58002A   25176.28523036 -.00000048 +00000+0 -38020-4 0 99991,2 00016  34.2616 257.2255 2023093  53.3873 323.6322 10.49574260651413,0.044628812,FALSE,TRUE,FALSE,FALSE,FALSE
1959-007A,20,Vanguard 3,Payload,67.39,Sphere + Cyl,,2.5,,0.51,2.5,1.291261461,0.204282062,1.103523689,9/18/1959,cdda48de-62c6-436d-9742-84f18c9450b1,2025-06-25T12:02:27.904704Z,11.6071432,0.1642766,33.3509,110.1642,302.734,42.5234,0.00020458,5.33E-06,8239.831,124.062,9593.442,6886.219,1 00020U 59007A   25176.50171186 +.00000533 +00000+0 +20458-3 0 99994,2 00020  33.3509 110.1642 1642766 302.7340  42.5234 11.60714320443133,0.016375185,FALSE,FALSE,FALSE,TRUE,FALSE
1959-009A,22,Explorer 7,Payload,41.13,Cone + Cone,0.76,0.76,0.76,,0.76,0.453645979,0.453645979,0.453645979,10/13/1959,e03708c4-340e-44ba-9840-402ba0c4dbb5,2025-06-25T12:42:11.680704Z,15.19342477,0.0091691,50.2762,50.5379,136.7941,224.0257,0.0003091,7.05E-05,6885.964,94.778,6949.102,6822.825,1 00022U 59009A   25176.52930186 +.00007050 +00000+0 +30910-3 0 99998,2 00022  50.2762  50.5379 0091691 136.7941 224.0257 15.19342477745959,0.011029564,FALSE,FALSE,FALSE,TRUE,FALSE
1960-002B,29,Tiros I,Payload,118.93,Cyl,,0.48,,1.07,1.07,1.035543258,0.5136,0.852981675,4/1/1960,4b7ba366-fc00-434c-88fd-049e17e0d0a2,2025-06-25T06:48:18.651744Z,14.7803433,0.0022409,48.3787,279.8658,173.536,186.5846,7.61E-05,3.43E-06,7013.673,97.427,7029.39,6997.956,1 00029U 60002B   25176.28354921 +.00000343 +00000+0 +76145-4 0 99999,2 00029  48.3787 279.8658 0022409 173.5360 186.5846 14.78034330489324,0.007172132,FALSE,FALSE,FALSE,TRUE,FALSE
1960-007A,45,Transit 2A,Payload,100.1,Sphere,0.91,0.91,0.91,,0.91,0.6504,0.6504,0.6504,6/22/1960,0ca860f8-8e1a-4fbf-8681-d403f9ec3ccb,2025-06-25T03:51:48.233952Z,14.35561978,0.0243124,66.6926,224.292,58.8461,303.6235,5.42E-05,1.12E-06,7151.336,100.309,7325.203,6977.47,1 00045U 60007A   25176.16097493 +.00000112 +00000+0 +54216-4 0 99996,2 00045  66.6926 224.2920 0243124  58.8461 303.6235 14.35561978385664,0.006497502,FALSE,FALSE,FALSE,TRUE,FALSE
1960-007B,46,Greb,Payload,18.83,Sphere,0.3,0.3,0.3,,0.3,0.2043,0.2043,0.2043,6/22/1960,0ea51ead-2ef7-47b8-8e4e-e2e71be3838a,2025-06-25T13:55:24.407904Z,14.54009768,0.0200138,66.6881,119.7925,203.309,155.8852,6.53E-05,2.39E-06,7090.719,99.036,7232.632,6948.807,1 00046U 60007B   25176.58014361 +.00000239 +00000+0 +65299-4 0 99999,2 00046  66.6881 119.7925 0200138 203.3090 155.8852 14.54009768405144,0.010849708,FALSE,FALSE,FALSE,TRUE,FALSE
1960-007C,47,Able-Star (Thor-Ablestar),Rocket Body,445.99,Cyl,,4.8,,1.4,4.8,6.894062084,1.5393804,6.047565858,6/22/1960,287dcf81-4320-4a2f-af7e-ff9690ee2303,2025-06-25T01:02:11.891616Z,14.4473241,0.0215312,66.6654,286.0938,38.6375,322.9913,5.82E-05,1.56E-06,7121.042,99.672,7274.367,6967.718,1 00047U 60007C   25176.04319319 +.00000156 +00000+0 +58192-4 0 99994,2 00047  66.6654 286.0938 0215312  38.6375 322.9913 14.44732410399648,0.013559869,FALSE,FALSE,FALSE,TRUE,FALSE
1960-009B,50,ALTAIR 1 (Delta),Rocket Body,23.79,Cyl,,1.5,,0.5,1.5,0.775276172,0.196349541,0.687223393,8/12/1960,8213e4f1-c8da-4fdb-bdab-2f6ca58cfcaa,2025-06-25T06:41:50.265600Z,12.20156388,0.0112899,47.2285,189.5475,30.8125,329.923,-0.00011864,-9.90E-07,7969.997,118.018,8059.978,7880.017,1 00050U 60009B   25176.27905400 -.00000099 +00000+0 -11864-3 0 99999,2 00050  47.2285 189.5475 0112899  30.8125 329.9230 12.20156388894121,0.02888707,FALSE,FALSE,FALSE,TRUE,FALSE
1960-013A,58,Courier 1B,Payload,227.95,Sphere,1.3,1.3,1.3,,1.3,1.3273,1.3273,1.3273,10/4/1960,1ed9a077-3772-4e4b-a1e8-5ec9150204cb,2025-06-25T06:09:28.665792Z,13.46412647,0.0164927,28.3252,150.832,132.2274,229.2392,-3.12E-06,8.30E-07,7463.623,106.951,7586.719,7340.528,1 00058U 60013A   25176.25658178 +.00000083 +00000+0 -31167-5 0 99999,2 00058  28.3252 150.8320 0164927 132.2274 229.2392 13.46412647185928,0.005822768,FALSE,FALSE,FALSE,TRUE,FALSE
1960-013B,59,Able-Star (Thor-Ablestar),Rocket Body,445.99,Cyl,,4.8,,1.4,4.8,6.894062084,1.5393804,6.047565858,10/4/1960,7d5f2661-df92-424c-bf26-0f42c88800ec,2025-06-25T14:12:05.407200Z,13.53139838,0.0188946,28.2471,155.8215,201.9385,157.298,-1.73E-06,9.00E-07,7438.866,106.419,7579.42,7298.311,1 00059U 60013B   25176.59172925 +.00000090 +00000+0 -17267-5 0 99991,2 00059  28.2471 155.8215 0188946 201.9385 157.2980 13.53139838194832,0.013559869,FALSE,FALSE,FALSE,TRUE,FALSE
1961-004B,82,Altair 1A (Scout X-1),Rocket Body,23.79,Cyl,,1.5,,0.5,1.5,0.775276172,0.196349541,0.687223393,2/16/1961,1dc59a6f-9d61-459d-97d1-8c220381b450,2025-06-25T10:38:31.402464Z,12.27660376,0.1168011,38.861,244.6861,299.2686,49.6183,0.0001827,1.90E-06,7937.487,117.296,8864.594,7010.38,1 00082U 61004B   25176.44341901 +.00000190 +00000+0 +18270-3 0 99997,2 00082  38.8610 244.6861 1168011 299.2686  49.6183 12.27660376032959,0.02888707,FALSE,FALSE,FALSE,TRUE,FALSE
1961-013A,107,Explorer 11,Payload,36.67,Cyl,,1.1,,0.3,1.1,0.337485536,0.070685835,0.294524311,4/27/1961,4aa67e99-ade7-423b-a7c8-35928d0fc679,2025-06-25T09:46:40.222272Z,14.19821634,0.050411,28.7854,210.016,41.9441,321.8641,0.0001343,1.22E-05,7204.093,101.421,7567.259,6840.928,1 00107U 61013A   25176.40740998 +.00001223 +00000+0 +13430-3 0 99991,2 00107  28.7854 210.0160 0504110  41.9441 321.8641 14.19821634225708,0.008031751,FALSE,FALSE,FALSE,TRUE,FALSE
1961-015A,116,Transit 4A (NPP),Payload,78.3,Cyl,,0.79,,1.09,1.09,1.269735293,0.8611,1.142872137,6/29/1961,885e4a1e-5e98-4eb6-9b8e-ddbab8bad420,2025-06-25T02:19:27.113376Z,13.92244104,0.0073603,66.8103,44.5393,168.7727,191.5017,6.08E-05,3.00E-08,7298.914,103.43,7352.636,7245.192,1 00116U 61015A   25176.09684159 +.00000003 +00000+0 +60819-4 0 99993,2 00116  66.8103  44.5393 0073603 168.7727 191.5017 13.92244104247499,0.014596068,FALSE,FALSE,FALSE,TRUE,FALSE
1961-015B,117,Injun 1 - Solrad 3,Payload,40.63,Sphere + Cyl,,0.9,,0.51,0.9,0.50240637,0.204282062,0.462638788,6/29/1961,99d7d2ec-053f-4319-b54f-df4e90f79c21,2025-06-25T07:38:24.189792Z,13.90137832,0.0078939,66.8108,155.107,192.581,167.33,2.65E-05,-4.30E-07,7306.285,103.587,7363.96,7248.61,1 00117U 61015B   25176.31833553 -.00000043 +00000+0 +26536-4 0 99996,2 00117  66.8108 155.1070 0078939 192.5810 167.3300 13.90137832244457,0.01138663,FALSE,FALSE,FALSE,TRUE,FALSE
